index,name,type_code,type_name,addressable,parent_index,region,area,city,settlement,act_date,url
102014,Москва-Ремцех,ЦЕХ,Цех,0,101700,Москва,,,,2024-11-18,https://pochtovyindex.ru/index/102014/
102015,Москва-Казанский Вокзал Пждп Цех-4 Обраб. Ппи,ЦЕХ,Цех,0,102000,Москва,,,,2020-08-11,https://pochtovyindex.ru/index/102015/
102024,Москва-Казанский Вокзал Пждп Цех-9 Уч-9.3,УЧАСТОК,УЧАСТОК,0,102000,Москва,,,,2007-05-21,https://pochtovyindex.ru/index/102024/
102026,Москва-Казанский Вокзал Пждп Цех-3 Уч-3.3,УЧАСТОК,УЧАСТОК,0,102000,Москва,,,,2010-02-18,https://pochtovyindex.ru/index/102026/
102028,Москва-Казанский Вокзал Пждп Цех-3 Уо Вспо,ММПО,Место международного почтового обмена,0,102000,Москва,,,,2011-03-28,https://pochtovyindex.ru/index/102028/
102032,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102001,Москва,,,,2019-06-28,https://pochtovyindex.ru/index/102032/
102033,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102001,Москва,,,,2018-06-13,https://pochtovyindex.ru/index/102033/
102034,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102101,Москва,,,,2019-06-28,https://pochtovyindex.ru/index/102034/
102035,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102001,Москва,,,,2018-10-22,https://pochtovyindex.ru/index/102035/
102036,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102001,Москва,,,,2018-10-22,https://pochtovyindex.ru/index/102036/
102037,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102101,Москва,,,,2018-10-22,https://pochtovyindex.ru/index/102037/
102039,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102101,Москва,,,,2018-10-22,https://pochtovyindex.ru/index/102039/
102040,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102040/
102041,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102041/
102042,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102042/
102043,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102043/
102044,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102044/
102045,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102045/
102046,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102046/
102047,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102047/
102048,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102048/
102049,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102049/
102050,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102050/
102051,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102051/
102052,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102052/
102053,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102053/
102054,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102054/
102055,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102055/
102056,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102056/
102057,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102057/
102058,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102058/
102059,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102059/
102060,Москва-Дти,ДТИ,Дополнительный технический индекс,0,102151,Москва,,,,2019-06-28,https://pochtovyindex.ru/index/102060/
102070,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102070/
102071,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102071/
102072,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102072/
102073,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102073/
102074,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102074/
102075,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102075/
102076,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102076/
102077,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102077/
102078,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102078/
102079,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102079/
102080,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102080/
102081,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102081/
102082,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102082/
102083,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102083/
102084,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102084/
102085,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102085/
102086,Шарапово-Дти,ДТИ,Дополнительный технический индекс,0,102961,Москва,Марушкинское,Шарапово,,2023-02-08,https://pochtovyindex.ru/index/102086/
